_EventID_,_Latitude_,_Longitude_,_DepthMeters_,_Contributor_,_MagType_,_Magnitude_,_EventLocationName_,_Time_,ts,potential_blast,bix_potential_blasts
4225375,37.9721,-81.3687,3900,ANF,ML,2.8,WEST VIRGINIA,07/03/2013 21:27,07/03/2013 16:27,1,1
4225387,37.913,-81.5979,2200,ANF,ML,2.9,WEST VIRGINIA,08/03/2013 20:43,08/03/2013 15:43,1,1
4225429,38.4778,-80.5931,14900,ANF,ML,2.6,WEST VIRGINIA,11/03/2013 20:22,11/03/2013 16:22,1,1
4225446,38.037,-81.6805,11000,ANF,ML,2.6,WEST VIRGINIA,12/03/2013 19:41,12/03/2013 15:41,1,1
4225537,38.2469,-81.6088,4500,ANF,ML,2.6,WEST VIRGINIA,18/03/2013 21:08,18/03/2013 17:08,1,1
5005243,37.7449,-82.0602,1200,ANF,ML,2.1,WEST VIRGINIA,05/09/2014 17:02,05/09/2014 13:02,1,1
4310991,38.0278,-81.7286,11800,ANF,ML,2.4,WEST VIRGINIA,18/04/2013 20:15,18/04/2013 16:15,1,1
4374244,38.0381,-81.4413,5900,ANF,ML,2.6,WEST VIRGINIA,17/09/2013 20:34,17/09/2013 16:34,1,1
4369627,38.0404,-81.4797,12600,ANF,ML,2.4,WEST VIRGINIA,31/05/2013 21:01,31/05/2013 17:01,1,1
4374281,43.8603,-75.959,11600,ANF,ML,2.2,NEW YORK,19/09/2013 15:57,19/09/2013 11:57,1,1
4369240,37.2264,-81.79,1800,ANF,ML,2.5,WEST VIRGINIA,10/05/2013 21:18,10/05/2013 17:18,1,1
4371966,37.3439,-81.427,1600,ANF,ML,2.7,WEST VIRGINIA,13/08/2013 20:14,13/08/2013 16:14,1,1
4488339,43.5884,-75.343,15400,ANF,ML,1.8,NEW YORK,01/10/2013 15:58,01/10/2013 11:58,1,1
5007476,40.4763,-78.9038,14900,ANF,ML,2.2,PENNSYLVANIA,06/10/2014 13:45,06/10/2014 09:45,1,1
4766990,39.8449,-79.9427,6100,ANF,ML,2,WEST VIRGINIA,27/03/2014 16:10,27/03/2014 12:10,1,1
4767008,38.0206,-81.4454,5700,ANF,ML,2.7,WEST VIRGINIA,28/03/2014 16:44,28/03/2014 12:44,1,1
4812920,39.2166,-80.2029,3800,ANF,ML,2.2,WEST VIRGINIA,02/04/2014 19:01,02/04/2014 15:01,1,1
4812963,39.8162,-77.2338,4300,ANF,ML,1.6,VIRGINIA,07/04/2014 20:15,07/04/2014 16:15,1,1
5005341,38.1019,-81.3865,7900,ANF,ML,2.2,WEST VIRGINIA,13/09/2014 15:38,13/09/2014 11:38,1,1
usp000gdb5,40.582,-75.086,1000,NEIC,md,2.1,New Jersey,28/07/2008 15:20,28/07/2008 11:20,0,0
4812959,37.8595,-81.6324,10700,ANF,ML,2.2,WEST VIRGINIA,07/04/2014 10:37,07/04/2014 06:37,1,0
usp000fgz6,42.604,-74.119,15000,NEIC,md,3.1,New York,24/07/2007 01:56,23/07/2007 21:56,0,0
usp000fjdd,44.27,-76.48,5000,NEIC,ml,2.6,"southern Ontario, Canada",11/08/2007 07:31,11/08/2007 03:31,0,0
usp000fpbd,41.99,-80.6,5000,NEIC,mblg,2.8,"Lake Erie, Ohio",28/09/2007 08:46,28/09/2007 04:46,0,0
usp000fubs,42.787,-78.205,7000,NEIC,md,2.6,New York,13/12/2007 03:29,12/12/2007 22:29,0,0
usp000g0z6,43.03,-78.571,6000,NEIC,md,2.7,New York,08/03/2008 11:48,08/03/2008 06:48,0,0
usp000g1gm,41.336,-74.452,3000,NEIC,md,2.3,New York,14/03/2008 22:42,14/03/2008 18:42,0,0
5109378,41.4636,-77.3452,13900,ANF,ML,2.4,PENNSYLVANIA,11/12/2014 18:58,11/12/2014 13:58,1,1
5111774,42.5354,-73.8013,16500,ANF,ML,2.2,NEW YORK,26/01/2015 20:07,26/01/2015 15:07,1,1
4813014,40.7894,-78.4417,13500,ANF,ML,2.3,PENNSYLVANIA,14/04/2014 19:00,14/04/2014 15:00,1,1
usp000gxw4,42.828,-78.248,5000,NEIC,md,2.9,New York,05/06/2009 15:07,05/06/2009 11:07,0,0
usp000grwk,40.107,-77.003,1000,NEIC,,0,Pennsylvania,31/12/2008 05:34,31/12/2008 00:34,0,0
usp000gt45,43.255,-78.723,7000,NEIC,mblg,2.3,New York,26/01/2009 06:55,26/01/2009 01:55,0,0
usp000gtz4,40.948,-74.392,2000,NEIC,md,2.4,"Greater New York area, New Jersey",14/02/2009 22:22,14/02/2009 17:22,0,0
usp000gu4z,42.57,-74.103,9000,NEIC,md,2.7,New York,18/02/2009 03:41,17/02/2009 22:41,0,0
usp000gu5q,42.572,-74.101,10000,NEIC,md,2.4,New York,18/02/2009 16:20,18/02/2009 11:20,0,0
usp000gu7q,42.573,-74.096,8000,NEIC,md,2.7,New York,20/02/2009 18:04,20/02/2009 13:04,0,0
usp000guat,42.574,-74.095,7000,NEIC,md,2.1,New York,23/02/2009 15:46,23/02/2009 10:46,0,0
usp000gv9z,42.634,-74.115,16000,NEIC,md,2.8,New York,22/03/2009 09:21,22/03/2009 05:21,0,0
4815551,40.7318,-76.0968,13100,ANF,ML,1.7,PENNSYLVANIA,04/06/2014 13:09,04/06/2014 09:09,1,1
4815591,42.9856,-75.1895,15800,ANF,ML,2.4,NEW YORK,09/06/2014 15:16,09/06/2014 11:16,1,1
4815633,40.872,-78.2725,12300,ANF,ML,2.1,PENNSYLVANIA,12/06/2014 20:09,12/06/2014 16:09,1,1
4820517,43.0059,-76.4146,15600,ANF,ML,2,NEW YORK,01/07/2014 14:15,01/07/2014 10:15,1,1
4820543,42.5209,-73.8635,13300,ANF,ML,2.1,NEW YORK,02/07/2014 19:24,02/07/2014 15:24,1,1
4820585,39.25,-78.0872,15000,ANF,ML,1.4,VIRGINIA,08/07/2014 14:27,08/07/2014 10:27,1,1
5111763,38.0645,-81.5033,5300,ANF,ML,2.4,WEST VIRGINIA,23/01/2015 22:08,23/01/2015 17:08,1,1
5005372,38.0552,-81.4888,9200,ANF,ML,2.8,WEST VIRGINIA,15/09/2014 22:53,15/09/2014 18:53,1,1
5007513,41.4817,-77.3558,12500,ANF,ML,2.2,PENNSYLVANIA,10/10/2014 18:31,10/10/2014 14:31,1,1
4808618,44.0636,-75.8842,14600,ANF,ML,2.2,NEW YORK,28/05/2014 15:26,28/05/2014 11:26,1,1
usp000hn29,44.241,-73.538,23900,NEIC,md,2.4,New York,13/10/2010 17:30,13/10/2010 13:30,0,0
usp000hc1v,38.686,-80.815,100,NEIC,mblg,2.6,West Virginia,29/04/2010 01:36,28/04/2010 21:36,0,0
usp000hc2p,38.647,-80.872,1100,NEIC,mblg,2.7,West Virginia,29/04/2010 12:38,29/04/2010 08:38,0,0
usp000hc39,38.722,-80.803,5000,NEIC,mblg,2.5,West Virginia,29/04/2010 23:26,29/04/2010 19:26,0,0
usp000hcfs,38.623,-80.911,100,NEIC,md,2.4,West Virginia,08/05/2010 03:03,07/05/2010 23:03,0,0
usp000hdhe,44.794,-74.629,8000,NEIC,md,2.5,New York,03/06/2010 09:35,03/06/2010 05:35,0,0
usp000hdhp,40.086,-76.974,1500,NEIC,ml,2.9,Pennsylvania,03/06/2010 12:25,03/06/2010 08:25,0,0
usp000hdna,40.42,-74.31,5000,NEIC,md,2.3,"Greater New York area, New Jersey",06/06/2010 08:13,06/06/2010 04:13,0,0
4815632,40.5452,-79.072,12900,ANF,ML,2.4,PENNSYLVANIA,12/06/2014 16:31,12/06/2014 12:31,1,1
4815645,37.8937,-81.2832,9200,ANF,ML,2.4,WEST VIRGINIA,13/06/2014 20:50,13/06/2014 16:50,1,1
4815619,40.7688,-79.7286,22800,ANF,ML,1.9,PENNSYLVANIA,11/06/2014 15:06,11/06/2014 11:06,1,1
4815660,44.0226,-75.6724,11300,ANF,ML,1.5,NEW YORK,17/06/2014 14:39,17/06/2014 10:39,1,1
4808550,38.0169,-80.5445,2300,ANF,ML,2.6,WEST VIRGINIA,20/05/2014 16:12,20/05/2014 12:12,1,1
4815745,42.5082,-73.8629,11900,ANF,ML,2.3,NEW YORK,24/06/2014 18:36,24/06/2014 14:36,1,1
4815762,44.0594,-75.8822,16700,ANF,ML,2.1,NEW YORK,26/06/2014 16:24,26/06/2014 12:24,1,1
4815637,37.2483,-81.4738,5600,ANF,ML,2.9,WEST VIRGINIA,13/06/2014 00:21,12/06/2014 20:21,1,0
usp000j389,44.52,-74.277,8200,NEIC,ml,2.6,New York,16/06/2011 04:03,16/06/2011 00:03,0,0
usp000j47r,40.092,-74.979,5000,NEIC,ml,0.4,"Greater Philadelphia area, Pennsylvania",06/07/2011 06:37,06/07/2011 02:37,0,0
usp000j6z7,44.703,-74.382,5000,NEIC,mwr,3,New York,24/08/2011 17:14,24/08/2011 13:14,0,0
usp000j6zc,44.702,-74.392,5000,NEIC,mblg,2.3,New York,24/08/2011 18:44,24/08/2011 14:44,0,0
usp000j70d,37.916,-80.215,12900,NEIC,mblg,2.7,West Virginia,25/08/2011 05:59,25/08/2011 01:59,0,0
usp000j70r,42.683,-74.091,18000,NEIC,ml,2.8,New York,25/08/2011 13:13,25/08/2011 09:13,0,0
usp000j71b,42.688,-74.094,20300,NEIC,mblg,2.7,New York,25/08/2011 20:55,25/08/2011 16:55,0,0
usp000j71v,42.681,-74.094,22900,NEIC,ml,2.2,New York,26/08/2011 04:55,26/08/2011 00:55,0,0
usp000j74e,42.687,-74.091,22100,NEIC,ml,2.9,New York,27/08/2011 14:38,27/08/2011 10:38,0,0
usp000j7ae,39.4,-81.27,5000,NEIC,mblg,2.8,Ohio,31/08/2011 09:35,31/08/2011 05:35,0,0
usp000jvz9,39.789,-75.016,5000,NEIC,ml,2.2,"Greater Philadelphia area, New Jersey",23/11/2012 05:13,23/11/2012 00:13,0,0
usp000jgbk,38.234,-81.748,5000,NEIC,mblg,2.6,West Virginia,16/03/2012 15:05,16/03/2012 11:05,0,0
ld60023903,43.0795,-74.1,6400,NEIC,Ml,1.8,"8km ENE of Broadalbin, New York",16/02/2013 07:44,16/02/2013 02:44,0,0
usp000j8rd,41.135,-80.685,5000,NEIC,ml,2.5,"Youngstown-Akron urban area, Ohio",30/09/2011 00:52,29/09/2011 20:52,0,0
usp000j9mc,41.125,-80.704,6000,NEIC,ml,2.2,"Youngstown-Akron urban area, Ohio",20/10/2011 22:41,20/10/2011 18:41,0,0
usp000jb6u,44.78,-74.62,5000,NEIC,ml,2.4,New York,21/11/2011 07:16,21/11/2011 02:16,0,0
usp000jck1,41.11,-80.69,3500,NEIC,mblg,2.7,"Youngstown-Akron urban area, Ohio",24/12/2011 06:24,24/12/2011 01:24,0,0
usp000jcwa,41.122,-80.684,5000,NEIC,mwr,3.7,"Youngstown-Akron urban area, Ohio",31/12/2011 20:05,31/12/2011 15:05,0,0
usp000jd5a,44.942,-74.663,10000,NEIC,ml,2.3,New York,07/01/2012 02:33,06/01/2012 21:33,0,0
usp000jdvu,43.555,-74.05,5000,NEIC,ml,2.3,New York,23/01/2012 15:44,23/01/2012 10:44,0,0
usp000jndf,44.308,-75.923,5000,NEIC,mblg,2.7,New York,30/06/2012 01:56,29/06/2012 21:56,0,0
4820701,37.9714,-81.394,4500,ANF,ML,2.7,WEST VIRGINIA,17/07/2014 19:52,17/07/2014 15:52,1,1
4820753,37.5878,-82.0707,6600,ANF,ML,2.3,WEST VIRGINIA,22/07/2014 22:34,22/07/2014 18:34,1,1
4815700,42.9874,-75.18,14900,ANF,ML,2.2,NEW YORK,20/06/2014 15:22,20/06/2014 11:22,1,1
4820682,37.882,-81.2689,2400,ANF,ML,2.2,WEST VIRGINIA,15/07/2014 22:21,15/07/2014 18:21,1,1
4815702,43.5783,-75.3438,16400,ANF,ML,1.6,NEW YORK,20/06/2014 15:53,20/06/2014 11:53,1,1
ld60026203,44.7482,-74.9807,8200,NEIC,Ml,1.2,"1km ESE of Norwood, New York",02/05/2013 01:54,01/05/2013 21:54,0,0
ld60029103,43.3038,-75.0882,5000,NEIC,Ml,2,"25km NNE of Utica, New York",27/07/2013 04:50,27/07/2013 00:50,0,0
se033113a,38.645,-80.8332,8100,NEIC,Mw,3.4,"11km WSW of Sutton, West Virginia",31/03/2013 14:01,31/03/2013 10:01,0,0
ld60025313,44.0688,-76.0213,7500,NEIC,Ml,1.7,"7km NNW of Brownville, New York",01/04/2013 11:28,01/04/2013 07:28,0,0
4487970,41.4467,-77.3844,7100,ANF,ML,2.7,PENNSYLVANIA,08/11/2013 19:11,08/11/2013 14:11,0,1
ld60070801,39.8185,-75.0058333,5240,NEIC,ml,1.02,"0km SW of Lindenwold, New Jersey",19/06/2014 04:09,19/06/2014 00:09,0,0
ld60064006,42.693,-74.0896667,11920,NEIC,ml,1.65,"4km W of Altamont, New York",08/02/2014 12:34,08/02/2014 07:34,0,0
ld60064231,41.4815,-80.3641667,5000,NEIC,ml,2.18,"8km NNE of Greenville, Pennsylvania",09/02/2014 22:34,09/02/2014 17:34,0,0
ld60064321,43.64,-78.3958333,5000,NEIC,ml,2.88,"39km SSW of Cobourg, Canada",13/02/2014 04:57,12/02/2014 23:57,0,0
ld60034403,41.0088333,-80.555,5000,NEIC,ml,2.42,"3km SSW of Lowellville, Ohio",10/03/2014 06:42,10/03/2014 02:42,0,0
ld60034408,41.0096667,-80.53,5000,NEIC,ml,2.23,"2km S of Lowellville, Ohio",10/03/2014 15:03,10/03/2014 11:03,0,0
ld60065316,41.009,-80.5316667,5000,NEIC,ml,2.64,"2km S of Lowellville, Ohio",10/03/2014 15:44,10/03/2014 11:44,0,0
ld60034503,41.0025,-80.5336667,5220,NEIC,ml,2.1,"3km S of Lowellville, Ohio",11/03/2014 07:01,11/03/2014 03:01,0,0
5006101,45.1875,-73.6607,13900,ANF,ML,1.9,"SOUTHERN QUEBEC, CANADA",06/08/2014 16:11,06/08/2014 12:11,0,1
5006158,39.4216,-76.2437,9900,ANF,ML,2.6,CHESAPEAKE BAY REGION,13/08/2014 16:00,13/08/2014 12:00,0,1
5006181,41.4571,-77.4006,7800,ANF,ML,2.3,PENNSYLVANIA,15/08/2014 18:52,15/08/2014 14:52,0,1
5006202,40.8075,-78.5401,12700,ANF,ML,2,PENNSYLVANIA,19/08/2014 15:56,19/08/2014 11:56,0,1
5006218,40.957,-74.5325,12500,ANF,ML,2,NEW JERSEY,20/08/2014 17:20,20/08/2014 13:20,0,1
5006250,38.1411,-82.0749,14900,ANF,ML,2.5,WEST VIRGINIA,25/08/2014 12:17,25/08/2014 08:17,0,1
5006251,39.7178,-79.7247,6400,ANF,ML,1.7,WEST VIRGINIA,25/08/2014 15:56,25/08/2014 11:56,0,1
5006265,43.0356,-74.707,2700,ANF,ML,2,NEW YORK,27/08/2014 14:01,27/08/2014 10:01,0,1
5006142,37.3263,-81.9165,1800,ANF,ML,2.6,WEST VIRGINIA,11/08/2014 20:37,11/08/2014 16:37,1,1
5006106,40.173,-80.9394,17000,ANF,ML,2.1,PENNSYLVANIA,07/08/2014 16:04,07/08/2014 12:04,1,1
5006125,41.088,-78.2998,12100,ANF,ML,2.1,PENNSYLVANIA,08/08/2014 19:30,08/08/2014 15:30,1,1
5006149,37.8446,-81.3658,7600,ANF,ML,2.2,WEST VIRGINIA,12/08/2014 19:56,12/08/2014 15:56,1,1
5006197,42.9611,-75.4762,13200,ANF,ML,2.1,NEW YORK,18/08/2014 14:03,18/08/2014 10:03,1,1
5006186,40.9082,-79.7063,14000,ANF,ML,1.9,PENNSYLVANIA,15/08/2014 23:12,15/08/2014 19:12,1,0
5005389,43.0316,-74.7098,9000,ANF,ML,1.9,NEW YORK,17/09/2014 14:00,17/09/2014 10:00,0,1
5005392,43.1573,-78.3593,11500,ANF,ML,1.2,NEW YORK,17/09/2014 17:00,17/09/2014 13:00,0,1
5005425,38.1049,-81.9259,7200,ANF,ML,2.2,WEST VIRGINIA,19/09/2014 20:44,19/09/2014 16:44,0,1
5005459,42.8535,-76.7805,12100,ANF,ML,2.2,NEW YORK,25/09/2014 15:27,25/09/2014 11:27,0,1
5005470,43.7431,-75.4198,14800,ANF,ML,2.1,NEW YORK,26/09/2014 14:55,26/09/2014 10:55,0,1
5005498,41.4567,-77.4065,5200,ANF,ML,2.4,PENNSYLVANIA,29/09/2014 18:52,29/09/2014 14:52,0,1
5005509,42.9205,-74.1337,13300,ANF,ML,2.1,NEW YORK,30/09/2014 14:31,30/09/2014 10:31,0,1
5005331,38.0437,-81.5174,8200,ANF,ML,2,WEST VIRGINIA,12/09/2014 20:44,12/09/2014 16:44,1,1
5005375,43.1109,-73.8509,5000,ANF,ML,1.7,NEW YORK,16/09/2014 15:30,16/09/2014 11:30,1,1
5005377,42.5004,-73.8583,16000,ANF,ML,2.1,NEW YORK,16/09/2014 16:11,16/09/2014 12:11,1,1
5005404,38.1163,-81.3605,10100,ANF,ML,2.5,WEST VIRGINIA,18/09/2014 15:47,18/09/2014 11:47,1,1
5005496,37.991,-81.3894,3700,ANF,ML,2.1,WEST VIRGINIA,29/09/2014 16:56,29/09/2014 12:56,1,1
5005502,37.8362,-81.2905,7000,ANF,ML,2.1,WEST VIRGINIA,29/09/2014 19:59,29/09/2014 15:59,1,1
5005433,40.2037,-76.9915,8700,ANF,ML,1.6,PENNSYLVANIA,21/09/2014 08:27,21/09/2014 04:27,0,0
5111752,38.3158,-81.1459,18300,ANF,ML,2.4,WEST VIRGINIA,22/01/2015 21:04,22/01/2015 16:04,0,1
5111782,41.403,-77.5697,7100,ANF,ML,2.7,PENNSYLVANIA,27/01/2015 20:37,27/01/2015 15:37,0,1
5113617,41.4376,-77.412,2100,ANF,ML,2.5,PENNSYLVANIA,27/02/2015 20:02,27/02/2015 15:02,0,1
5114946,38.8281,-79.7296,4300,ANF,ML,1.9,VIRGINIA,09/03/2015 19:58,09/03/2015 15:58,0,1
5114955,37.7114,-82.3657,7800,ANF,ML,3.1,WEST VIRGINIA,11/03/2015 17:27,11/03/2015 13:27,0,1
5111781,38.0715,-81.5702,1600,ANF,ML,2.4,WEST VIRGINIA,27/01/2015 18:01,27/01/2015 13:01,1,1
5114968,40.9616,-74.545,8300,ANF,ML,2.3,NEW JERSEY,12/03/2015 18:00,12/03/2015 14:00,0,1
5115007,42.4868,-73.8713,12100,ANF,ML,2.2,NEW YORK,23/03/2015 17:56,23/03/2015 13:56,0,1
5115009,42.9287,-74.1317,4700,ANF,ML,1.8,NEW YORK,23/03/2015 20:48,23/03/2015 16:48,0,1
5111737,37.8819,-81.2178,6700,ANF,ML,2.8,WEST VIRGINIA,21/01/2015 21:34,21/01/2015 16:34,1,1
5111749,41.4639,-77.3709,13300,ANF,ML,2.5,PENNSYLVANIA,22/01/2015 20:14,22/01/2015 15:14,1,1
5111794,41.4155,-75.5505,3200,ANF,ML,1.9,PENNSYLVANIA,29/01/2015 15:31,29/01/2015 10:31,1,1
5113592,41.466,-77.3629,12500,ANF,ML,2,PENNSYLVANIA,12/02/2015 18:58,12/02/2015 13:58,1,1
5114958,37.8007,-82.0377,4800,ANF,ML,2.6,WEST VIRGINIA,11/03/2015 21:09,11/03/2015 17:09,1,1
5114922,39.4289,-81.4101,4300,ANF,ML,2.8,OHIO,03/03/2015 06:44,03/03/2015 01:44,0,0
5113609,37.2042,-81.8189,1700,ANF,ML,2.7,WEST VIRGINIA,26/02/2015 05:18,26/02/2015 00:18,1,0
5153934,45.1986,-73.7691,13000,ANF,ML,1.9,"SOUTHERN QUEBEC, CANADA",12/05/2015 16:07,12/05/2015 12:07,0,1
5153935,42.9379,-74.1107,12300,ANF,ML,1.6,NEW YORK,12/05/2015 17:58,12/05/2015 13:58,0,1
5153937,41.6394,-74.5383,9900,ANF,ML,2.3,NEW YORK,13/05/2015 14:15,13/05/2015 10:15,0,1
5153939,41.402,-77.4948,9900,ANF,ML,2.4,PENNSYLVANIA,14/05/2015 14:41,14/05/2015 10:41,0,1
5153955,45.1803,-73.6498,11000,ANF,ML,1.9,"SOUTHERN QUEBEC, CANADA",20/05/2015 16:09,20/05/2015 12:09,0,1
5153960,45.2936,-73.4152,3200,ANF,ML,1.8,"SOUTHERN QUEBEC, CANADA",21/05/2015 15:53,21/05/2015 11:53,0,1
5153963,42.7809,-73.5647,14000,ANF,ML,2.1,NEW YORK,21/05/2015 20:40,21/05/2015 16:40,0,1
5153965,40.7191,-76.4854,4300,ANF,ML,2.4,PENNSYLVANIA,22/05/2015 15:07,22/05/2015 11:07,1,1
5153943,43.0709,-76.4046,14100,ANF,ML,1.1,NEW YORK,15/05/2015 10:00,15/05/2015 06:00,0,0
4599478,38.1153,-81.9822,9100,ANF,ML,2.6,WEST VIRGINIA,13/12/2013 21:00,13/12/2013 16:00,0,1
4599525,40.4609,-77.8738,15700,ANF,ML,2.5,PENNSYLVANIA,18/12/2013 16:20,18/12/2013 11:20,0,1
4599545,39.7599,-79.7564,6100,ANF,ML,2,WEST VIRGINIA,20/12/2013 17:19,20/12/2013 12:19,0,1
4217707,38.1605,-80.3346,6200,ANF,ML,3.2,WEST VIRGINIA,17/09/2012 19:52,17/09/2012 15:52,0,1
